Nº,Nom,Grau,Metres,Paret,Zona,Data,Enllaç,Ubicació
148,Aresta Est,V,130,La Pastereta,Montserrat,2016-04,http://elprincepdelesmaduixes.blogspot.com.es/2016/04/sense-voler.html,"41.5832, 1.8090"
149,Sangre Azul,6a+,200,Roca dels Arcs,Vilanova de Meià,2016-05,http://elprincepdelesmaduixes.blogspot.com.es/2016/05/la-reina-del-porno.html,"41.998, 1.018"
150,Pornostar,6a+,200,Roca Alta,Vilanova de Meià,2016-05,http://elprincepdelesmaduixes.blogspot.com.es/2016/05/la-reina-del-porno.html,"42.0224, 1.0159"
151,Nubiola-Picazo-Dori,IV+,180,Miranda del Pas del Príncep,Montserrat,2016-05,http://elprincepdelesmaduixes.blogspot.com.es/2016/05/el-gruyere.html,"41.6048, 1.7928"
152,Via del Carles,V+,150,Gorro Frigi,Montserrat,2016-05,http://elprincepdelesmaduixes.blogspot.com.es/2016/05/la-crema-solar.html,"41.5898, 1.8298"
153,Magic Line,V+,150,Gorro Frigi,Montserrat,2016-05,http://elprincepdelesmaduixes.blogspot.com.es/2016/05/la-crema-solar.html,"41.5898, 1.8298"
154,Aresta Brucs,V,65,Miranda de les Bohigues,Montserrat,2016-06,http://elprincepdelesmaduixes.blogspot.com.es/2016/06/la-puta-de-la-cabra.html,"41.6078, 1.7826"
155,Mutant World,V,100,Pic del Martell,Pic del Martell,2016-06,http://elprincepdelesmaduixes.blogspot.com.es/2016/06/remember.html,"41.2740, 1.9261"
156,Civís Genís,V,150,Dent de Cabirols,Pedraforca,2016-07,http://elprincepdelesmaduixes.blogspot.com.es/2016/07/vet-aqui-una-vegada.html,"42.2394, 1.7151"
157,Punsola-Reniu,V/Ae,240,Cavall Bernat,Montserrat,2016-07,http://elprincepdelesmaduixes.blogspot.com.es/2016/07/un-altre-cop-una-altra-vegada.html,"41.6007, 1.8227"
158,98 Octanos,6a,140,Magdalena Superior,Montserrat,2016-08,http://elprincepdelesmaduixes.blogspot.com.es/2016/08/octantos.html,"41.5885, 1.8275"
159,Cresta dels Bessiberris,IV+,1800,Cavallers,Cavallers,2016-08,http://elprincepdelesmaduixes.blogspot.com.es/2016/08/escales-amb-barana.html,"42.5854, 0.8545"
160,Los Balcones de Anayet,V+,350,Pic d'Anayet,Vall de Tena,2016-09,http://elprincepdelesmaduixes.blogspot.com.es/2016/09/boira-cavalls-i-vacances_6.html,"42.7817, -0.4545"
161,Aresta Sud,IV+,265,Pène Sarrière,Gourette,2016-09,http://elprincepdelesmaduixes.blogspot.com.es/2016/09/tallant-el-cel.html,"42.9670, -0.3370"
162,Esperó Sud,IV+,250,Agulles de Bachimaña,Vall de Tena,2016-09,http://elprincepdelesmaduixes.blogspot.com/2016/09/passeig-vertical.html,"42.7825, -0.2388"
163,Esperó Nord-est,6a,335,Pic de les Valletes,Andorra,2016-09,http://elprincepdelesmaduixes.blogspot.com/2016/09/quan-no-hi-ha-obligacio.html,"42.5283, 1.7786"
